longitude,latitude,u_10m_component_of_wind,v_10m_component_of_wind,dewpoint_2m_temperature,temperature_2m,mean_sea_level_pressure,surface_net_solar_radiation,surface_net_thermal_radiation,surface_pressure,surface_sensible_heat_flux,top_net_solar_radiation,top_net_thermal_radiation,total_cloud_cover,total_precipitation
42,-91,6.920973,-2.4394841,258.08267,261.92612,102814.78,64582.375,-303704.7,99498.73,189967,179705.62,-753873,0.89107776,5.18E-07
42,-91,5.1141076,2.4079862,262.58374,265.69345,102895.38,829110.3,-333725.12,99611.47,-243731.44,1434134.1,-786394.8,0.805823,0
42,-91,4.2487984,-0.19865489,264.53503,268.10834,102554.43,62202.75,-244242.39,99328.41,118343.81,183286,-760239.4,0.81226254,0
42,-91,-3.661335,-0.081006765,262.17294,266.05038,103056.06,621196.25,-155358.81,99776.99,-184905.69,1388002.8,-559122,1,3.10E-06
42,-91,-3.4795845,0.11292887,263.5777,268.054,102594.14,65523.125,-234139.16,99358.39,115303.56,204286.12,-781822.75,0.5029527,2.07E-06
42,-91,-2.8492208,1.1276438,270.29092,272.12247,102126.86,851523.1,-317506.25,98958.984,-103949.56,1561442.9,-858097.94,0.16269666,0
42,-91,-2.1310852,0.31146002,272.0156,275.79916,101897.86,61095.875,-134573.88,98765.88,86032.06,204905.75,-853836.5,0.8824409,0
42,-91,-8.297301,2.6138704,272.67548,274.12186,100277.86,253625.25,-13438.5,97188.65,82850.44,1073276.8,-501583.5,1,0.001634508
42,-91,-4.2172256,0.5770874,274.0684,274.34076,99333.5,15052.625,12325.75,96272.3,82921.125,157672.75,-746471.5,1,0.000806399
42,-91,8.948599,-1.5727481,268.5911,270.8035,102041.42,977754.7,-186598.25,98845.05,-329990.3,1660659.8,-817346.56,1,0
42,-91,5.373878,-1.17109,268.0835,271.03494,102512.88,112949.875,-314469.06,99311.016,185583.38,258197.75,-821245.7,0,0
42,-91,2.8338048,-0.75840247,267.53693,272.37903,103221.32,1230217.8,-380604.88,100003.08,-372766.25,1865496.6,-876800.1,0.2672699,0
42,-91,2.4800565,-0.8604256,267.3032,271.15344,103081.67,131931.62,-293684.12,99872.945,31448.562,280161.88,-846659.25,0,0
42,-91,-2.1062605,5.192938,272.78525,278.5961,102240.25,977754.7,-174242.97,99146.09,-47810.625,1780876.6,-828837,0.99606305,0
42,-91,-2.1771877,6.5946045,275.00687,276.63156,101628.36,53735.625,-25091.312,98537.99,272407.88,189069.62,-648095.3,1,0.000512786
42,-91,-4.5789533,4.3960557,279.8798,283.38126,100444.68,1058883.8,-149387.81,97458.516,-117312.625,1900818.1,-517887.5,1,0
42,-91,-3.8847551,6.311514,283.05994,284.82712,99882.164,52407.375,-22136.781,96936.17,416926.88,214545.12,-783772.4,0.9876703,4.65E-05
42,-91,6.315434,6.8537984,273.9669,282.72177,99235,1679083.9,-287816.4,96250.11,-597534.25,2405922,-853474.2,0.9828178,0
42,-91,5.7630897,3.2655306,276.21918,276.87,99772.04,45268.5,-30401.188,96714.88,106889.75,218882.88,-843829.75,1,3.98E-05
42,-91,7.4555855,-5.8374925,269.56613,275.93024,101877.875,1397843.8,-184304.88,98739.49,-721690.5,2130304.2,-833081.2,0.45132986,7.24E-06
42,-91,6.818129,-3.6683555,268.96527,275.8424,102280.36,252518.38,-368538.88,99138.3,172644.5,414562.38,-889946.9,0.012573808,0
42,-91,3.5803115,-1.2694365,266.76727,276.9885,102955.34,2324740.5,-510397.22,99784.78,-952327,2874258.5,-901885.9,0.002227873,0
42,-91,1.4835322,-2.3696303,267.94064,276.94806,102656.06,218373.38,-292031.25,99519.72,40428,391427.88,-830044.7,0.002502561,0
42,-91,4.1760983,-3.0029082,267.7388,277.27155,102752.336,2286445,-479302.44,99600.08,-940660.8,2866409.2,-902765.75,0.5261471,0
42,-91,1.9747016,-1.710617,268.47186,276.2342,102724.125,254732,-323952.47,99567.09,104839.375,425578.88,-851490.06,0.2693147,0
42,-91,2.532365,-1.9109865,268.84015,278.90842,103083.76,1799172.6,-289613.9,99931.71,-686338.5,2459145.2,-823316.06,0.80750155,2.07E-06
42,-91,1.7521682,-0.22163296,267.96426,277.58105,102885.195,208522.75,-251019.19,99754.8,52094.188,373388.5,-767813.4,1,0
